# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
# Datatype: MPI_CHAR.
1                       0.24
2                       0.24
4                       0.25
8                       0.29
16                      0.26
32                      0.25
64                      0.26
128                     0.30
256                     0.31
512                     0.42
1024                    0.51
2048                    0.72
4096                    1.10
8192                    1.34
16384                   1.73
32768                   2.33
65536                   3.99
131072                  7.07
262144                 14.13
524288                 35.40
1048576                74.62
2097152               270.46
4194304               625.86
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.22
8                       0.24
16                      0.26
32                      0.24
64                      0.26
128                     0.38
256                     0.69
512                     0.83
1024                    0.57
2048                    0.82
4096                    1.53
8192                    1.56
16384                   1.68
32768                   2.45
65536                   4.01
131072                  7.17
262144                 14.36
524288                 29.56
1048576                70.67
2097152               263.27
4194304               608.81
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.24
4                       0.23
8                       0.23
16                      0.26
32                      0.26
64                      0.26
128                     0.30
256                     0.33
512                     0.43
1024                    0.53
2048                    0.60
4096                    1.11
8192                    1.27
16384                   1.71
32768                   2.34
65536                   4.79
131072                  7.80
262144                 14.96
524288                 33.83
1048576                85.67
2097152               235.42
4194304               581.86
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.25
4                       0.23
8                       0.23
16                      0.25
32                      0.25
64                      0.25
128                     0.29
256                     0.31
512                     0.42
1024                    0.51
2048                    0.58
4096                    1.08
8192                    1.23
16384                   1.65
32768                   2.33
65536                   3.76
131072                  8.15
262144                 14.31
524288                 28.81
1048576                75.02
2097152               249.44
4194304               608.80
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.30
4                       0.23
8                       0.25
16                      0.28
32                      0.26
64                      0.26
128                     0.35
256                     0.34
512                     0.50
1024                    0.55
2048                    0.63
4096                    1.19
8192                    1.34
16384                   1.69
32768                   2.34
65536                   3.88
131072                  7.15
262144                 14.36
524288                 28.83
1048576                69.73
2097152               233.43
4194304               597.45
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.24
4                       0.23
8                       0.24
16                      0.25
32                      0.26
64                      0.24
128                     0.30
256                     0.31
512                     0.42
1024                    0.53
2048                    0.59
4096                    1.10
8192                    1.28
16384                   1.76
32768                   2.32
65536                   3.90
131072                  7.15
262144                 14.23
524288                 30.59
1048576                74.50
2097152               261.31
4194304               594.53
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.24
4                       0.23
8                       0.23
16                      0.26
32                      0.25
64                      0.25
128                     0.30
256                     0.30
512                     0.41
1024                    0.50
2048                    0.60
4096                    1.10
8192                    1.23
16384                   1.61
32768                   2.41
65536                   3.86
131072                  6.81
262144                 14.44
524288                 28.12
1048576                81.62
2097152               247.44
4194304               621.47
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.41
4                       0.23
8                       0.22
16                      0.24
32                      0.24
64                      0.24
128                     0.31
256                     0.33
512                     0.42
1024                    0.50
2048                    0.59
4096                    1.13
8192                    1.50
16384                   2.41
32768                   3.48
65536                   5.40
131072                  9.13
262144                 14.93
524288                 28.15
1048576                70.31
2097152               274.70
4194304               638.60
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.25
4                       0.51
8                       0.58
16                      0.39
32                      0.24
64                      0.29
128                     0.30
256                     0.31
512                     0.48
1024                    0.60
2048                    0.58
4096                    1.11
8192                    1.28
16384                   1.79
32768                   2.69
65536                   3.94
131072                  7.82
262144                 19.83
524288                 38.80
1048576                73.51
2097152               233.65
4194304               624.55
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.25
2                       0.23
4                       0.23
8                       0.25
16                      0.25
32                      0.25
64                      0.26
128                     0.31
256                     0.32
512                     0.42
1024                    0.49
2048                    0.58
4096                    1.12
8192                    1.27
16384                   1.76
32768                   2.40
65536                   3.86
131072                  7.12
262144                 14.49
524288                 30.14
1048576                70.38
2097152               274.63
4194304               599.75
