# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
64                      0.46
128                     0.48
256                     0.51
512                     0.54
1024                    0.60
2048                    0.71
4096                    1.01
8192                    1.55
16384                   1.88
32768                   2.67
65536                   4.18
131072                  7.81
262144                 14.66
524288                 29.83
1048576                71.08
2097152               243.42
4194304               637.64
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.38
4                       0.37
8                       0.37
16                      0.38
32                      0.46
64                      0.44
128                     0.48
256                     0.51
512                     0.54
1024                    0.58
2048                    0.71
4096                    1.02
8192                    1.54
16384                   1.85
32768                   2.64
65536                   4.07
131072                  7.43
262144                 14.66
524288                 29.22
1048576                69.03
2097152               239.43
4194304               624.96
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.38
4                       0.38
8                       0.39
16                      0.38
32                      0.46
64                      0.48
128                     0.49
256                     0.51
512                     0.53
1024                    0.61
2048                    0.71
4096                    0.99
8192                    1.56
16384                   1.90
32768                   2.58
65536                   4.02
131072                  7.31
262144                 14.49
524288                 30.01
1048576                66.43
2097152               236.72
4194304               622.85
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.40
2                       0.38
4                       0.37
8                       0.38
16                      0.38
32                      0.45
64                      0.45
128                     0.48
256                     0.50
512                     0.54
1024                    0.60
2048                    0.70
4096                    1.00
8192                    1.54
16384                   1.84
32768                   2.59
65536                   4.00
131072                  7.25
262144                 14.38
524288                 31.52
1048576                71.52
2097152               242.62
4194304               626.25
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.38
4                       0.38
8                       0.37
16                      0.38
32                      0.47
64                      0.44
128                     0.48
256                     0.51
512                     0.53
1024                    0.60
2048                    0.70
4096                    1.02
8192                    1.55
16384                   2.11
32768                   2.61
65536                   4.12
131072                  7.39
262144                 14.49
524288                 29.49
1048576                68.57
2097152               246.84
4194304               629.45
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.37
4                       0.38
8                       0.38
16                      0.39
32                      0.46
64                      0.45
128                     0.48
256                     0.49
512                     0.53
1024                    0.60
2048                    0.69
4096                    1.12
8192                    1.53
16384                   1.92
32768                   2.51
65536                   4.01
131072                  7.22
262144                 14.53
524288                 29.17
1048576                67.97
2097152               238.16
4194304               617.26
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.37
4                       0.38
8                       0.38
16                      0.38
32                      0.47
64                      0.47
128                     0.51
256                     0.50
512                     0.54
1024                    0.59
2048                    0.70
4096                    1.03
8192                    1.53
16384                   1.85
32768                   2.56
65536                   4.11
131072                  7.25
262144                 14.52
524288                 28.65
1048576                67.07
2097152               243.06
4194304               627.40
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.37
4                       0.38
8                       0.37
16                      0.39
32                      0.48
64                      0.47
128                     0.53
256                     0.51
512                     0.58
1024                    0.61
2048                    0.73
4096                    1.02
8192                    1.57
16384                   1.99
32768                   2.64
65536                   4.47
131072                  7.48
262144                 14.71
524288                 29.60
1048576                75.53
2097152               243.11
4194304               631.15
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.37
4                       0.36
8                       0.37
16                      0.38
32                      0.46
64                      0.44
128                     0.49
256                     0.51
512                     0.55
1024                    0.59
2048                    0.69
4096                    1.01
8192                    1.55
16384                   1.83
32768                   2.60
65536                   4.21
131072                  7.08
262144                 14.48
524288                 30.27
1048576                68.97
2097152               242.44
4194304               626.42
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.38
4                       0.38
8                       0.37
16                      0.38
32                      0.45
64                      0.44
128                     0.49
256                     0.50
512                     0.54
1024                    0.59
2048                    0.69
4096                    0.98
8192                    1.54
16384                   2.41
32768                   2.55
65536                   3.92
131072                  7.18
262144                 14.38
524288                 28.33
1048576                65.50
2097152               235.13
4194304               624.12
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.36
2                       0.38
4                       0.38
8                       0.39
16                      0.38
32                      0.44
64                      0.44
128                     0.49
256                     0.52
512                     0.53
1024                    0.60
2048                    0.70
4096                    1.01
8192                    1.53
16384                   1.88
32768                   2.59
65536                   4.12
131072                  7.14
262144                 14.30
524288                 31.45
1048576                65.68
2097152               232.57
4194304               616.20
