Size,Latency(us),Benchmark
262144,14.47,latency-1-node-baremetal-pre-CNI
524288,29.41,latency-1-node-baremetal-pre-CNI
1048576,67.25,latency-1-node-baremetal-pre-CNI
2097152,242.14,latency-1-node-baremetal-pre-CNI
4194304,622.18,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.37,latency-1-node-baremetal-pre-CNI
8,0.36,latency-1-node-baremetal-pre-CNI
16,0.36,latency-1-node-baremetal-pre-CNI
32,0.45,latency-1-node-baremetal-pre-CNI
64,0.45,latency-1-node-baremetal-pre-CNI
128,0.52,latency-1-node-baremetal-pre-CNI
256,0.49,latency-1-node-baremetal-pre-CNI
512,0.56,latency-1-node-baremetal-pre-CNI
1024,0.58,latency-1-node-baremetal-pre-CNI
2048,0.7,latency-1-node-baremetal-pre-CNI
4096,1.05,latency-1-node-baremetal-pre-CNI
8192,1.55,latency-1-node-baremetal-pre-CNI
16384,1.82,latency-1-node-baremetal-pre-CNI
32768,2.49,latency-1-node-baremetal-pre-CNI
65536,3.99,latency-1-node-baremetal-pre-CNI
131072,8.17,latency-1-node-baremetal-pre-CNI
262144,15.34,latency-1-node-baremetal-pre-CNI
524288,28.62,latency-1-node-baremetal-pre-CNI
1048576,73.78,latency-1-node-baremetal-pre-CNI
2097152,242.85,latency-1-node-baremetal-pre-CNI
4194304,629.31,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.39,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.47,latency-1-node-baremetal-pre-CNI
64,0.46,latency-1-node-baremetal-pre-CNI
128,0.48,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.54,latency-1-node-baremetal-pre-CNI
1024,0.6,latency-1-node-baremetal-pre-CNI
2048,0.71,latency-1-node-baremetal-pre-CNI
4096,1.01,latency-1-node-baremetal-pre-CNI
8192,1.55,latency-1-node-baremetal-pre-CNI
16384,1.88,latency-1-node-baremetal-pre-CNI
32768,2.67,latency-1-node-baremetal-pre-CNI
65536,4.18,latency-1-node-baremetal-pre-CNI
131072,7.81,latency-1-node-baremetal-pre-CNI
262144,14.66,latency-1-node-baremetal-pre-CNI
524288,29.83,latency-1-node-baremetal-pre-CNI
1048576,71.08,latency-1-node-baremetal-pre-CNI
2097152,243.42,latency-1-node-baremetal-pre-CNI
4194304,637.64,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.37,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.46,latency-1-node-baremetal-pre-CNI
64,0.44,latency-1-node-baremetal-pre-CNI
128,0.48,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.54,latency-1-node-baremetal-pre-CNI
1024,0.58,latency-1-node-baremetal-pre-CNI
2048,0.71,latency-1-node-baremetal-pre-CNI
4096,1.02,latency-1-node-baremetal-pre-CNI
8192,1.54,latency-1-node-baremetal-pre-CNI
16384,1.85,latency-1-node-baremetal-pre-CNI
32768,2.64,latency-1-node-baremetal-pre-CNI
65536,4.07,latency-1-node-baremetal-pre-CNI
131072,7.43,latency-1-node-baremetal-pre-CNI
262144,14.66,latency-1-node-baremetal-pre-CNI
524288,29.22,latency-1-node-baremetal-pre-CNI
1048576,69.03,latency-1-node-baremetal-pre-CNI
2097152,239.43,latency-1-node-baremetal-pre-CNI
4194304,624.96,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.39,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.46,latency-1-node-baremetal-pre-CNI
64,0.48,latency-1-node-baremetal-pre-CNI
128,0.49,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.53,latency-1-node-baremetal-pre-CNI
1024,0.61,latency-1-node-baremetal-pre-CNI
2048,0.71,latency-1-node-baremetal-pre-CNI
4096,0.99,latency-1-node-baremetal-pre-CNI
8192,1.56,latency-1-node-baremetal-pre-CNI
16384,1.9,latency-1-node-baremetal-pre-CNI
32768,2.58,latency-1-node-baremetal-pre-CNI
65536,4.02,latency-1-node-baremetal-pre-CNI
131072,7.31,latency-1-node-baremetal-pre-CNI
262144,14.49,latency-1-node-baremetal-pre-CNI
524288,30.01,latency-1-node-baremetal-pre-CNI
1048576,66.43,latency-1-node-baremetal-pre-CNI
2097152,236.72,latency-1-node-baremetal-pre-CNI
4194304,622.85,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.37,latency-1-node-baremetal-pre-CNI
8,0.38,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.45,latency-1-node-baremetal-pre-CNI
64,0.45,latency-1-node-baremetal-pre-CNI
128,0.48,latency-1-node-baremetal-pre-CNI
256,0.5,latency-1-node-baremetal-pre-CNI
512,0.54,latency-1-node-baremetal-pre-CNI
1024,0.6,latency-1-node-baremetal-pre-CNI
2048,0.7,latency-1-node-baremetal-pre-CNI
4096,1.0,latency-1-node-baremetal-pre-CNI
8192,1.54,latency-1-node-baremetal-pre-CNI
16384,1.84,latency-1-node-baremetal-pre-CNI
32768,2.59,latency-1-node-baremetal-pre-CNI
65536,4.0,latency-1-node-baremetal-pre-CNI
131072,7.25,latency-1-node-baremetal-pre-CNI
262144,14.38,latency-1-node-baremetal-pre-CNI
524288,31.52,latency-1-node-baremetal-pre-CNI
1048576,71.52,latency-1-node-baremetal-pre-CNI
2097152,242.62,latency-1-node-baremetal-pre-CNI
4194304,626.25,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.47,latency-1-node-baremetal-pre-CNI
64,0.44,latency-1-node-baremetal-pre-CNI
128,0.48,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.53,latency-1-node-baremetal-pre-CNI
1024,0.6,latency-1-node-baremetal-pre-CNI
2048,0.7,latency-1-node-baremetal-pre-CNI
4096,1.02,latency-1-node-baremetal-pre-CNI
8192,1.55,latency-1-node-baremetal-pre-CNI
16384,2.11,latency-1-node-baremetal-pre-CNI
32768,2.61,latency-1-node-baremetal-pre-CNI
65536,4.12,latency-1-node-baremetal-pre-CNI
131072,7.39,latency-1-node-baremetal-pre-CNI
262144,14.49,latency-1-node-baremetal-pre-CNI
524288,29.49,latency-1-node-baremetal-pre-CNI
1048576,68.57,latency-1-node-baremetal-pre-CNI
2097152,246.84,latency-1-node-baremetal-pre-CNI
4194304,629.45,latency-1-node-baremetal-pre-CNI
2,0.37,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.38,latency-1-node-baremetal-pre-CNI
16,0.39,latency-1-node-baremetal-pre-CNI
32,0.46,latency-1-node-baremetal-pre-CNI
64,0.45,latency-1-node-baremetal-pre-CNI
128,0.48,latency-1-node-baremetal-pre-CNI
256,0.49,latency-1-node-baremetal-pre-CNI
512,0.53,latency-1-node-baremetal-pre-CNI
1024,0.6,latency-1-node-baremetal-pre-CNI
2048,0.69,latency-1-node-baremetal-pre-CNI
4096,1.12,latency-1-node-baremetal-pre-CNI
8192,1.53,latency-1-node-baremetal-pre-CNI
16384,1.92,latency-1-node-baremetal-pre-CNI
32768,2.51,latency-1-node-baremetal-pre-CNI
65536,4.01,latency-1-node-baremetal-pre-CNI
131072,7.22,latency-1-node-baremetal-pre-CNI
262144,14.53,latency-1-node-baremetal-pre-CNI
524288,29.17,latency-1-node-baremetal-pre-CNI
1048576,67.97,latency-1-node-baremetal-pre-CNI
2097152,238.16,latency-1-node-baremetal-pre-CNI
4194304,617.26,latency-1-node-baremetal-pre-CNI
2,0.37,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.38,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.47,latency-1-node-baremetal-pre-CNI
64,0.47,latency-1-node-baremetal-pre-CNI
128,0.51,latency-1-node-baremetal-pre-CNI
256,0.5,latency-1-node-baremetal-pre-CNI
512,0.54,latency-1-node-baremetal-pre-CNI
1024,0.59,latency-1-node-baremetal-pre-CNI
2048,0.7,latency-1-node-baremetal-pre-CNI
4096,1.03,latency-1-node-baremetal-pre-CNI
8192,1.53,latency-1-node-baremetal-pre-CNI
16384,1.85,latency-1-node-baremetal-pre-CNI
32768,2.56,latency-1-node-baremetal-pre-CNI
65536,4.11,latency-1-node-baremetal-pre-CNI
131072,7.25,latency-1-node-baremetal-pre-CNI
262144,14.52,latency-1-node-baremetal-pre-CNI
524288,28.65,latency-1-node-baremetal-pre-CNI
1048576,67.07,latency-1-node-baremetal-pre-CNI
2097152,243.06,latency-1-node-baremetal-pre-CNI
4194304,627.4,latency-1-node-baremetal-pre-CNI
2,0.37,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.39,latency-1-node-baremetal-pre-CNI
32,0.48,latency-1-node-baremetal-pre-CNI
64,0.47,latency-1-node-baremetal-pre-CNI
128,0.53,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.58,latency-1-node-baremetal-pre-CNI
1024,0.61,latency-1-node-baremetal-pre-CNI
2048,0.73,latency-1-node-baremetal-pre-CNI
4096,1.02,latency-1-node-baremetal-pre-CNI
8192,1.57,latency-1-node-baremetal-pre-CNI
16384,1.99,latency-1-node-baremetal-pre-CNI
32768,2.64,latency-1-node-baremetal-pre-CNI
65536,4.47,latency-1-node-baremetal-pre-CNI
131072,7.48,latency-1-node-baremetal-pre-CNI
262144,14.71,latency-1-node-baremetal-pre-CNI
524288,29.6,latency-1-node-baremetal-pre-CNI
1048576,75.53,latency-1-node-baremetal-pre-CNI
2097152,243.11,latency-1-node-baremetal-pre-CNI
4194304,631.15,latency-1-node-baremetal-pre-CNI
2,0.37,latency-1-node-baremetal-pre-CNI
4,0.36,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.46,latency-1-node-baremetal-pre-CNI
64,0.44,latency-1-node-baremetal-pre-CNI
128,0.49,latency-1-node-baremetal-pre-CNI
256,0.51,latency-1-node-baremetal-pre-CNI
512,0.55,latency-1-node-baremetal-pre-CNI
1024,0.59,latency-1-node-baremetal-pre-CNI
2048,0.69,latency-1-node-baremetal-pre-CNI
4096,1.01,latency-1-node-baremetal-pre-CNI
8192,1.55,latency-1-node-baremetal-pre-CNI
16384,1.83,latency-1-node-baremetal-pre-CNI
32768,2.6,latency-1-node-baremetal-pre-CNI
65536,4.21,latency-1-node-baremetal-pre-CNI
131072,7.08,latency-1-node-baremetal-pre-CNI
262144,14.48,latency-1-node-baremetal-pre-CNI
524288,30.27,latency-1-node-baremetal-pre-CNI
1048576,68.97,latency-1-node-baremetal-pre-CNI
2097152,242.44,latency-1-node-baremetal-pre-CNI
4194304,626.42,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.37,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.45,latency-1-node-baremetal-pre-CNI
64,0.44,latency-1-node-baremetal-pre-CNI
128,0.49,latency-1-node-baremetal-pre-CNI
256,0.5,latency-1-node-baremetal-pre-CNI
512,0.54,latency-1-node-baremetal-pre-CNI
1024,0.59,latency-1-node-baremetal-pre-CNI
2048,0.69,latency-1-node-baremetal-pre-CNI
4096,0.98,latency-1-node-baremetal-pre-CNI
8192,1.54,latency-1-node-baremetal-pre-CNI
16384,2.41,latency-1-node-baremetal-pre-CNI
32768,2.55,latency-1-node-baremetal-pre-CNI
65536,3.92,latency-1-node-baremetal-pre-CNI
131072,7.18,latency-1-node-baremetal-pre-CNI
262144,14.38,latency-1-node-baremetal-pre-CNI
524288,28.33,latency-1-node-baremetal-pre-CNI
1048576,65.5,latency-1-node-baremetal-pre-CNI
2097152,235.13,latency-1-node-baremetal-pre-CNI
4194304,624.12,latency-1-node-baremetal-pre-CNI
2,0.38,latency-1-node-baremetal-pre-CNI
4,0.38,latency-1-node-baremetal-pre-CNI
8,0.39,latency-1-node-baremetal-pre-CNI
16,0.38,latency-1-node-baremetal-pre-CNI
32,0.44,latency-1-node-baremetal-pre-CNI
64,0.44,latency-1-node-baremetal-pre-CNI
128,0.49,latency-1-node-baremetal-pre-CNI
256,0.52,latency-1-node-baremetal-pre-CNI
512,0.53,latency-1-node-baremetal-pre-CNI
1024,0.6,latency-1-node-baremetal-pre-CNI
2048,0.7,latency-1-node-baremetal-pre-CNI
4096,1.01,latency-1-node-baremetal-pre-CNI
8192,1.53,latency-1-node-baremetal-pre-CNI
16384,1.88,latency-1-node-baremetal-pre-CNI
32768,2.59,latency-1-node-baremetal-pre-CNI
65536,4.12,latency-1-node-baremetal-pre-CNI
131072,7.14,latency-1-node-baremetal-pre-CNI
262144,14.3,latency-1-node-baremetal-pre-CNI
524288,31.45,latency-1-node-baremetal-pre-CNI
1048576,65.68,latency-1-node-baremetal-pre-CNI
2097152,232.57,latency-1-node-baremetal-pre-CNI
4194304,616.2,latency-1-node-baremetal-pre-CNI
2,0.26,latency-1-node-calico-kube
4,0.3,latency-1-node-calico-kube
8,0.39,latency-1-node-calico-kube
16,0.32,latency-1-node-calico-kube
32,0.33,latency-1-node-calico-kube
64,0.33,latency-1-node-calico-kube
128,0.33,latency-1-node-calico-kube
256,0.33,latency-1-node-calico-kube
512,0.48,latency-1-node-calico-kube
1024,0.64,latency-1-node-calico-kube
2048,0.64,latency-1-node-calico-kube
4096,1.21,latency-1-node-calico-kube
8192,1.32,latency-1-node-calico-kube
16384,1.93,latency-1-node-calico-kube
32768,2.46,latency-1-node-calico-kube
65536,3.92,latency-1-node-calico-kube
131072,7.12,latency-1-node-calico-kube
262144,16.72,latency-1-node-calico-kube
524288,31.59,latency-1-node-calico-kube
1048576,68.04,latency-1-node-calico-kube
2097152,229.74,latency-1-node-calico-kube
4194304,581.47,latency-1-node-calico-kube
2,0.29,latency-1-node-calico-kube
4,0.31,latency-1-node-calico-kube
8,0.29,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.24,latency-1-node-calico-kube
64,0.29,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.36,latency-1-node-calico-kube
512,0.61,latency-1-node-calico-kube
1024,0.57,latency-1-node-calico-kube
2048,1.11,latency-1-node-calico-kube
4096,1.99,latency-1-node-calico-kube
8192,2.1,latency-1-node-calico-kube
16384,2.21,latency-1-node-calico-kube
32768,3.22,latency-1-node-calico-kube
65536,4.48,latency-1-node-calico-kube
131072,9.73,latency-1-node-calico-kube
262144,16.98,latency-1-node-calico-kube
524288,30.31,latency-1-node-calico-kube
1048576,61.79,latency-1-node-calico-kube
2097152,250.76,latency-1-node-calico-kube
4194304,624.13,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.24,latency-1-node-calico-kube
8,0.24,latency-1-node-calico-kube
16,0.25,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.33,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.57,latency-1-node-calico-kube
4096,1.1,latency-1-node-calico-kube
8192,1.24,latency-1-node-calico-kube
16384,1.65,latency-1-node-calico-kube
32768,2.41,latency-1-node-calico-kube
65536,3.86,latency-1-node-calico-kube
131072,7.07,latency-1-node-calico-kube
262144,14.6,latency-1-node-calico-kube
524288,28.2,latency-1-node-calico-kube
1048576,85.8,latency-1-node-calico-kube
2097152,247.15,latency-1-node-calico-kube
4194304,640.33,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.22,latency-1-node-calico-kube
8,0.23,latency-1-node-calico-kube
16,0.24,latency-1-node-calico-kube
32,0.24,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.31,latency-1-node-calico-kube
512,0.41,latency-1-node-calico-kube
1024,0.49,latency-1-node-calico-kube
2048,0.59,latency-1-node-calico-kube
4096,1.1,latency-1-node-calico-kube
8192,1.29,latency-1-node-calico-kube
16384,1.72,latency-1-node-calico-kube
32768,2.36,latency-1-node-calico-kube
65536,3.78,latency-1-node-calico-kube
131072,6.94,latency-1-node-calico-kube
262144,16.28,latency-1-node-calico-kube
524288,28.66,latency-1-node-calico-kube
1048576,120.19,latency-1-node-calico-kube
2097152,232.33,latency-1-node-calico-kube
4194304,624.21,latency-1-node-calico-kube
2,0.26,latency-1-node-calico-kube
4,0.26,latency-1-node-calico-kube
8,0.25,latency-1-node-calico-kube
16,0.3,latency-1-node-calico-kube
32,0.28,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.3,latency-1-node-calico-kube
256,0.32,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.5,latency-1-node-calico-kube
2048,0.57,latency-1-node-calico-kube
4096,1.08,latency-1-node-calico-kube
8192,1.27,latency-1-node-calico-kube
16384,1.73,latency-1-node-calico-kube
32768,2.52,latency-1-node-calico-kube
65536,3.9,latency-1-node-calico-kube
131072,6.92,latency-1-node-calico-kube
262144,14.25,latency-1-node-calico-kube
524288,28.64,latency-1-node-calico-kube
1048576,85.19,latency-1-node-calico-kube
2097152,251.05,latency-1-node-calico-kube
4194304,625.95,latency-1-node-calico-kube
2,0.22,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.23,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.27,latency-1-node-calico-kube
64,0.25,latency-1-node-calico-kube
128,0.3,latency-1-node-calico-kube
256,0.31,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.5,latency-1-node-calico-kube
2048,0.59,latency-1-node-calico-kube
4096,1.08,latency-1-node-calico-kube
8192,1.27,latency-1-node-calico-kube
16384,1.84,latency-1-node-calico-kube
32768,2.36,latency-1-node-calico-kube
65536,3.85,latency-1-node-calico-kube
131072,7.13,latency-1-node-calico-kube
262144,14.81,latency-1-node-calico-kube
524288,31.95,latency-1-node-calico-kube
1048576,99.82,latency-1-node-calico-kube
2097152,237.14,latency-1-node-calico-kube
4194304,597.02,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.37,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.27,latency-1-node-calico-kube
64,0.25,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.37,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.57,latency-1-node-calico-kube
4096,1.11,latency-1-node-calico-kube
8192,1.26,latency-1-node-calico-kube
16384,1.68,latency-1-node-calico-kube
32768,2.37,latency-1-node-calico-kube
65536,3.87,latency-1-node-calico-kube
131072,7.12,latency-1-node-calico-kube
262144,14.18,latency-1-node-calico-kube
524288,29.1,latency-1-node-calico-kube
1048576,71.72,latency-1-node-calico-kube
2097152,257.1,latency-1-node-calico-kube
4194304,611.1,latency-1-node-calico-kube
2,0.25,latency-1-node-calico-kube
4,0.24,latency-1-node-calico-kube
8,0.27,latency-1-node-calico-kube
16,0.31,latency-1-node-calico-kube
32,0.26,latency-1-node-calico-kube
64,0.35,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.3,latency-1-node-calico-kube
512,0.39,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.62,latency-1-node-calico-kube
4096,1.67,latency-1-node-calico-kube
8192,1.54,latency-1-node-calico-kube
16384,1.72,latency-1-node-calico-kube
32768,2.37,latency-1-node-calico-kube
65536,3.87,latency-1-node-calico-kube
131072,7.92,latency-1-node-calico-kube
262144,21.01,latency-1-node-calico-kube
524288,70.01,latency-1-node-calico-kube
1048576,70.26,latency-1-node-calico-kube
2097152,234.22,latency-1-node-calico-kube
4194304,641.85,latency-1-node-calico-kube
2,0.25,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.22,latency-1-node-calico-kube
16,0.25,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.31,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.35,latency-1-node-calico-kube
512,0.43,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.64,latency-1-node-calico-kube
4096,1.14,latency-1-node-calico-kube
8192,1.26,latency-1-node-calico-kube
16384,1.68,latency-1-node-calico-kube
32768,2.32,latency-1-node-calico-kube
65536,3.88,latency-1-node-calico-kube
131072,7.19,latency-1-node-calico-kube
262144,14.47,latency-1-node-calico-kube
524288,29.14,latency-1-node-calico-kube
1048576,70.55,latency-1-node-calico-kube
2097152,271.64,latency-1-node-calico-kube
4194304,632.61,latency-1-node-calico-kube
2,0.27,latency-1-node-calico-kube
4,0.25,latency-1-node-calico-kube
8,0.25,latency-1-node-calico-kube
16,0.25,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.29,latency-1-node-calico-kube
128,0.34,latency-1-node-calico-kube
256,0.35,latency-1-node-calico-kube
512,0.55,latency-1-node-calico-kube
1024,0.61,latency-1-node-calico-kube
2048,0.66,latency-1-node-calico-kube
4096,1.51,latency-1-node-calico-kube
8192,1.42,latency-1-node-calico-kube
16384,1.62,latency-1-node-calico-kube
32768,2.38,latency-1-node-calico-kube
65536,3.85,latency-1-node-calico-kube
131072,6.93,latency-1-node-calico-kube
262144,14.34,latency-1-node-calico-kube
524288,29.89,latency-1-node-calico-kube
1048576,66.86,latency-1-node-calico-kube
2097152,256.94,latency-1-node-calico-kube
4194304,599.64,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.25,latency-1-node-calico-kube
8,0.29,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.3,latency-1-node-calico-kube
256,0.31,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.72,latency-1-node-calico-kube
4096,1.1,latency-1-node-calico-kube
8192,1.34,latency-1-node-calico-kube
16384,1.73,latency-1-node-calico-kube
32768,2.33,latency-1-node-calico-kube
65536,3.99,latency-1-node-calico-kube
131072,7.07,latency-1-node-calico-kube
262144,14.13,latency-1-node-calico-kube
524288,35.4,latency-1-node-calico-kube
1048576,74.62,latency-1-node-calico-kube
2097152,270.46,latency-1-node-calico-kube
4194304,625.86,latency-1-node-calico-kube
2,0.22,latency-1-node-calico-kube
4,0.22,latency-1-node-calico-kube
8,0.24,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.24,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.38,latency-1-node-calico-kube
256,0.69,latency-1-node-calico-kube
512,0.83,latency-1-node-calico-kube
1024,0.57,latency-1-node-calico-kube
2048,0.82,latency-1-node-calico-kube
4096,1.53,latency-1-node-calico-kube
8192,1.56,latency-1-node-calico-kube
16384,1.68,latency-1-node-calico-kube
32768,2.45,latency-1-node-calico-kube
65536,4.01,latency-1-node-calico-kube
131072,7.17,latency-1-node-calico-kube
262144,14.36,latency-1-node-calico-kube
524288,29.56,latency-1-node-calico-kube
1048576,70.67,latency-1-node-calico-kube
2097152,263.27,latency-1-node-calico-kube
4194304,608.81,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.23,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.26,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.3,latency-1-node-calico-kube
256,0.33,latency-1-node-calico-kube
512,0.43,latency-1-node-calico-kube
1024,0.53,latency-1-node-calico-kube
2048,0.6,latency-1-node-calico-kube
4096,1.11,latency-1-node-calico-kube
8192,1.27,latency-1-node-calico-kube
16384,1.71,latency-1-node-calico-kube
32768,2.34,latency-1-node-calico-kube
65536,4.79,latency-1-node-calico-kube
131072,7.8,latency-1-node-calico-kube
262144,14.96,latency-1-node-calico-kube
524288,33.83,latency-1-node-calico-kube
1048576,85.67,latency-1-node-calico-kube
2097152,235.42,latency-1-node-calico-kube
4194304,581.86,latency-1-node-calico-kube
2,0.25,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.23,latency-1-node-calico-kube
16,0.25,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.25,latency-1-node-calico-kube
128,0.29,latency-1-node-calico-kube
256,0.31,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.51,latency-1-node-calico-kube
2048,0.58,latency-1-node-calico-kube
4096,1.08,latency-1-node-calico-kube
8192,1.23,latency-1-node-calico-kube
16384,1.65,latency-1-node-calico-kube
32768,2.33,latency-1-node-calico-kube
65536,3.76,latency-1-node-calico-kube
131072,8.15,latency-1-node-calico-kube
262144,14.31,latency-1-node-calico-kube
524288,28.81,latency-1-node-calico-kube
1048576,75.02,latency-1-node-calico-kube
2097152,249.44,latency-1-node-calico-kube
4194304,608.8,latency-1-node-calico-kube
2,0.3,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.25,latency-1-node-calico-kube
16,0.28,latency-1-node-calico-kube
32,0.26,latency-1-node-calico-kube
64,0.26,latency-1-node-calico-kube
128,0.35,latency-1-node-calico-kube
256,0.34,latency-1-node-calico-kube
512,0.5,latency-1-node-calico-kube
1024,0.55,latency-1-node-calico-kube
2048,0.63,latency-1-node-calico-kube
4096,1.19,latency-1-node-calico-kube
8192,1.34,latency-1-node-calico-kube
16384,1.69,latency-1-node-calico-kube
32768,2.34,latency-1-node-calico-kube
65536,3.88,latency-1-node-calico-kube
131072,7.15,latency-1-node-calico-kube
262144,14.36,latency-1-node-calico-kube
524288,28.83,latency-1-node-calico-kube
1048576,69.73,latency-1-node-calico-kube
2097152,233.43,latency-1-node-calico-kube
4194304,597.45,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.24,latency-1-node-calico-kube
16,0.25,latency-1-node-calico-kube
32,0.26,latency-1-node-calico-kube
64,0.24,latency-1-node-calico-kube
128,0.3,latency-1-node-calico-kube
256,0.31,latency-1-node-calico-kube
512,0.42,latency-1-node-calico-kube
1024,0.53,latency-1-node-calico-kube
2048,0.59,latency-1-node-calico-kube
4096,1.1,latency-1-node-calico-kube
8192,1.28,latency-1-node-calico-kube
16384,1.76,latency-1-node-calico-kube
32768,2.32,latency-1-node-calico-kube
65536,3.9,latency-1-node-calico-kube
131072,7.15,latency-1-node-calico-kube
262144,14.23,latency-1-node-calico-kube
524288,30.59,latency-1-node-calico-kube
1048576,74.5,latency-1-node-calico-kube
2097152,261.31,latency-1-node-calico-kube
4194304,594.53,latency-1-node-calico-kube
2,0.24,latency-1-node-calico-kube
4,0.23,latency-1-node-calico-kube
8,0.23,latency-1-node-calico-kube
16,0.26,latency-1-node-calico-kube
32,0.25,latency-1-node-calico-kube
64,0.25,latency-1-node-calico-kube
