Size,Latency(us),Benchmark
32768,2.81,latency-1-node-baremetal-calico-CNI
65536,4.54,latency-1-node-baremetal-calico-CNI
131072,8.06,latency-1-node-baremetal-calico-CNI
262144,16.27,latency-1-node-baremetal-calico-CNI
524288,31.98,latency-1-node-baremetal-calico-CNI
1048576,68.02,latency-1-node-baremetal-calico-CNI
2097152,243.7,latency-1-node-baremetal-calico-CNI
4194304,586.91,latency-1-node-baremetal-calico-CNI
2,0.41,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.4,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.48,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.53,latency-1-node-baremetal-calico-CNI
512,0.56,latency-1-node-baremetal-calico-CNI
1024,0.66,latency-1-node-baremetal-calico-CNI
2048,0.74,latency-1-node-baremetal-calico-CNI
4096,1.1,latency-1-node-baremetal-calico-CNI
8192,1.88,latency-1-node-baremetal-calico-CNI
16384,1.98,latency-1-node-baremetal-calico-CNI
32768,2.76,latency-1-node-baremetal-calico-CNI
65536,4.45,latency-1-node-baremetal-calico-CNI
131072,7.81,latency-1-node-baremetal-calico-CNI
262144,16.11,latency-1-node-baremetal-calico-CNI
524288,31.87,latency-1-node-baremetal-calico-CNI
1048576,63.8,latency-1-node-baremetal-calico-CNI
2097152,227.96,latency-1-node-baremetal-calico-CNI
4194304,576.78,latency-1-node-baremetal-calico-CNI
2,0.39,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.39,latency-1-node-baremetal-calico-CNI
16,0.39,latency-1-node-baremetal-calico-CNI
32,0.47,latency-1-node-baremetal-calico-CNI
64,0.47,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.58,latency-1-node-baremetal-calico-CNI
1024,0.62,latency-1-node-baremetal-calico-CNI
2048,0.74,latency-1-node-baremetal-calico-CNI
4096,1.04,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.99,latency-1-node-baremetal-calico-CNI
32768,2.8,latency-1-node-baremetal-calico-CNI
65536,4.4,latency-1-node-baremetal-calico-CNI
131072,7.82,latency-1-node-baremetal-calico-CNI
262144,15.6,latency-1-node-baremetal-calico-CNI
524288,31.94,latency-1-node-baremetal-calico-CNI
1048576,64.56,latency-1-node-baremetal-calico-CNI
2097152,220.14,latency-1-node-baremetal-calico-CNI
4194304,580.66,latency-1-node-baremetal-calico-CNI
2,0.4,latency-1-node-baremetal-calico-CNI
4,0.4,latency-1-node-baremetal-calico-CNI
