# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.02
2                      23.78
4                      23.79
8                      24.09
16                     25.17
32                     23.98
64                     22.77
128                    23.81
256                    24.88
512                    24.66
1024                   24.61
2048                   31.91
4096                   36.94
8192                   40.28
16384                  46.19
32768                  54.41
65536                  69.37
131072                 98.74
262144                225.23
524288                518.03
1048576              1101.25
2097152              2218.39
4194304              4481.87
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.49
2                      24.28
4                      24.18
8                      24.08
16                     24.48
32                     24.11
64                     23.77
128                    25.46
256                    24.51
512                    24.94
1024                   26.21
2048                   34.47
4096                   36.46
8192                   40.72
16384                  44.46
32768                  52.66
65536                  69.79
131072                 94.53
262144                213.05
524288                509.85
1048576              1079.44
2097152              2226.21
4194304              4501.64
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.70
2                      23.94
4                      23.20
8                      24.29
16                     24.90
32                     24.09
64                     24.14
128                    23.52
256                    24.28
512                    24.64
1024                   25.72
2048                   33.82
4096                   36.92
8192                   39.44
16384                  43.34
32768                  52.61
65536                  69.15
131072                 95.18
262144                223.02
524288                523.22
1048576              1080.86
2097152              2200.71
4194304              4536.31
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.73
2                      23.78
4                      24.20
8                      23.49
16                     23.37
32                     24.91
64                     24.58
128                    25.22
256                    24.16
512                    25.79
1024                   24.71
2048                   34.40
4096                   38.38
8192                   40.01
16384                  43.48
32768                  50.61
65536                  70.79
131072                 95.07
262144                216.30
524288                513.80
1048576              1076.32
2097152              2196.07
4194304              4506.86
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.18
2                      23.66
4                      24.09
8                      24.05
16                     23.98
32                     23.93
64                     24.10
128                    25.43
256                    25.05
512                    25.38
1024                   25.44
2048                   35.39
4096                   35.21
8192                   40.74
16384                  44.79
32768                  51.11
65536                  70.42
131072                 95.47
262144                228.03
524288                511.48
1048576              1068.84
2097152              2226.42
4194304              4468.98
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.36
2                      24.73
4                      24.60
8                      24.46
16                     26.35
32                     24.84
64                     25.02
128                    24.36
256                    24.51
512                    24.93
1024                   25.33
2048                   35.28
4096                   35.25
8192                   37.60
16384                  39.20
32768                  49.11
65536                  68.66
131072                 94.34
262144                214.83
524288                502.20
1048576              1081.19
2097152              2235.37
4194304              4482.79
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.17
2                      24.06
4                      24.34
8                      23.62
16                     24.18
32                     23.79
64                     24.05
128                    24.21
256                    23.15
512                    24.81
1024                   25.41
2048                   34.84
4096                   37.06
8192                   39.60
16384                  39.71
32768                  47.92
65536                  72.91
131072                 97.50
262144                220.48
524288                499.40
1048576              1066.30
2097152              2205.15
4194304              4501.34
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.28
2                      24.26
4                      25.88
8                      24.93
16                     24.22
32                     24.78
64                     24.85
128                    25.78
256                    25.73
512                    26.09
1024                   25.74
2048                   33.35
4096                   37.10
8192                   39.41
16384                  41.32
32768                  48.31
65536                  67.34
131072                 98.26
262144                217.65
524288                511.45
1048576              1090.38
2097152              2211.37
4194304              4505.28
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.77
2                      24.82
4                      24.02
8                      24.74
16                     26.45
32                     24.46
64                     25.23
128                    24.33
256                    23.44
512                    24.98
1024                   24.31
2048                   35.04
4096                   35.62
8192                   37.76
16384                  41.15
32768                  49.35
65536                  68.56
131072                 92.84
262144                210.59
524288                501.52
1048576              1063.13
2097152              2208.40
4194304              4514.88
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.98
2                      25.08
4                      24.49
8                      24.14
16                     24.21
32                     24.35
64                     24.38
128                    24.10
256                    24.22
512                    25.20
1024                   26.54
2048                   33.81
4096                   36.17
8192                   40.19
16384                  43.24
32768                  49.13
65536                  70.15
131072                 96.89
262144                213.24
524288                507.86
1048576              1052.53
2097152              2212.12
4194304              4495.87
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.04
2                      23.03
4                      23.52
8                      24.40
16                     23.61
32                     23.68
64                     24.77
128                    24.87
256                    25.14
512                    24.83
1024                   24.71
2048                   33.97
4096                   39.07
8192                   40.62
16384                  49.29
32768                  62.06
65536                  70.59
131072                101.23
262144                225.92
524288                511.33
1048576              1122.24
2097152              2223.45
4194304              4414.56
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.54
2                      26.47
4                      25.54
8                      24.56
16                     24.14
32                     26.09
64                     25.43
128                    24.62
256                    26.58
512                    25.89
1024                   25.86
2048                   32.26
4096                   36.16
8192                   39.82
16384                  41.48
32768                  48.15
65536                  66.94
131072                 91.64
262144                220.59
524288                510.16
1048576              1065.64
2097152              2194.78
4194304              4487.15
