# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.09
2                      22.76
4                      23.06
8                      23.94
16                     22.66
32                     23.26
64                     23.39
128                    24.16
256                    22.92
512                    23.28
1024                   23.62
2048                   32.92
4096                   35.20
8192                   36.94
16384                  40.66
32768                  47.92
65536                  66.70
131072                 94.98
262144                212.13
524288                501.96
1048576              1104.14
2097152              2144.95
4194304              4262.54
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.93
2                      22.81
4                      24.34
8                      24.73
16                     24.00
32                     24.00
64                     23.73
128                    24.00
256                    24.34
512                    24.55
1024                   24.04
2048                   32.47
4096                   34.29
8192                   37.60
16384                  38.62
32768                  47.13
65536                  66.05
131072                 88.67
262144                218.97
524288                504.45
1048576              1045.86
2097152              2121.48
4194304              4290.16
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.26
2                      24.11
4                      24.59
8                      22.75
16                     24.19
32                     23.32
64                     23.61
128                    24.04
256                    24.07
512                    23.86
1024                   24.47
2048                   34.17
4096                   35.68
8192                   36.35
16384                  38.12
32768                  49.05
65536                  69.18
131072                 91.68
262144                229.93
524288                515.45
1048576              1089.26
2097152              2232.41
4194304              4479.88
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.68
2                      23.54
4                      25.11
8                      25.41
16                     23.06
32                     23.08
64                     23.14
128                    23.86
256                    24.13
512                    25.22
1024                   24.13
2048                   32.07
4096                   36.37
8192                   38.83
16384                  43.05
32768                  49.47
65536                  71.18
131072                 97.46
262144                211.84
524288                501.30
1048576              1077.21
2097152              2206.77
4194304              4442.52
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.32
2                      24.28
4                      24.22
8                      24.33
16                     23.66
32                     23.83
64                     25.16
128                    23.91
256                    23.66
512                    24.55
1024                   25.11
2048                   33.79
4096                   35.96
8192                   37.81
16384                  40.55
32768                  48.85
65536                  68.58
131072                 97.19
262144                212.12
524288                502.62
1048576              1080.90
2097152              2199.67
4194304              4459.84
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.52
2                      23.82
4                      23.38
8                      24.42
16                     23.56
32                     24.09
64                     24.07
128                    24.42
256                    24.00
512                    25.01
1024                   25.54
2048                   31.82
4096                   34.91
8192                   39.36
16384                  41.97
32768                  52.12
65536                  71.26
131072                 96.83
262144                222.21
524288                520.07
1048576              1104.82
2097152              2238.15
4194304              4512.11
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.00
2                      24.07
4                      23.62
8                      24.42
16                     23.25
32                     24.24
64                     23.76
128                    24.43
256                    24.05
512                    25.49
1024                   25.38
2048                   33.22
4096                   36.70
8192                   37.72
16384                  43.34
32768                  51.06
65536                  70.16
131072                 93.47
262144                210.92
524288                496.54
1048576              1079.30
2097152              2249.04
4194304              4461.82
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.67
2                      24.25
4                      23.36
8                      24.15
16                     24.33
32                     24.15
64                     24.35
128                    23.82
256                    24.11
512                    25.69
1024                   25.60
2048                   33.47
4096                   37.86
8192                   37.14
16384                  41.46
32768                  48.50
65536                  70.00
131072                100.95
262144                216.55
524288                514.13
1048576              1100.41
2097152              2218.47
4194304              4476.98
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
