Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.24]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      33.89
2                      32.42
4                      33.15
8                      31.60
16                     32.39
32                     32.06
64                     31.72
128                    31.65
256                    32.71
512                    31.69
1024                   32.15
2048                   49.45
4096                   51.55
8192                   61.98
16384                  78.05
32768                 109.96
65536                 247.17
131072                354.11
262144                463.71
524288                706.54
1048576              1199.14
2097152              2123.09
4194304              4047.25
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.64]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.33]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.47
2                      31.61
4                      32.09
8                      31.49
16                     32.80
32                     32.34
64                     32.10
128                    32.32
256                    32.41
512                    31.68
1024                   31.93
2048                   48.95
4096                   51.63
8192                   61.61
16384                  75.87
32768                 110.19
65536                 242.49
131072                365.36
262144                462.00
524288                717.56
1048576              1178.91
2097152              2202.57
4194304              4055.68
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.66]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.34]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.86
2                      32.33
4                      33.64
8                      31.83
16                     32.67
32                     32.41
64                     32.14
128                    31.03
256                    31.04
512                    31.93
1024                   33.06
2048                   50.28
4096                   53.10
8192                   59.86
16384                  74.77
32768                 110.78
65536                 256.14
131072                352.55
262144                492.79
524288                696.43
1048576              1155.85
2097152              2148.64
4194304              4050.45
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.68]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.35]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      32.34
2                      31.45
4                      32.03
8                      31.82
16                     34.06
32                     32.12
64                     32.18
128                    31.33
256                    31.17
512                    31.87
1024                   32.26
2048                   50.74
4096                   52.75
8192                   61.63
16384                  74.45
32768                 111.08
65536                 261.82
131072                340.68
262144                475.10
524288                723.97
1048576              1152.05
2097152              2126.46
4194304              4052.15
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.70]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.36]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      33.81
2                      32.10
4                      32.93
8                      31.75
16                     32.96
32                     31.20
64                     31.98
128                    32.98
256                    32.68
512                    31.15
1024                   31.68
2048                   50.36
4096                   49.66
8192                   62.57
16384                  76.03
32768                 108.03
65536                 265.32
131072                342.86
262144                476.11
524288                713.79
1048576              1212.60
2097152              2120.82
4194304              4068.99
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.37]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.72]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      32.25
2                      31.79
4                      31.27
8                      32.32
16                     32.16
32                     32.16
64                     32.92
128                    31.26
256                    32.19
512                    32.22
1024                   32.04
2048                   50.95
4096                   53.78
8192                   60.44
16384                  74.87
32768                 109.92
65536                 252.48
131072                347.69
262144                489.61
524288                706.52
1048576              1189.39
2097152              2170.96
4194304              4100.26
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.74]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.38]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.28
2                      32.25
4                      31.60
8                      31.83
16                     33.16
32                     33.04
64                     31.73
128                    32.04
256                    32.00
512                    32.50
1024                   32.47
2048                   49.48
4096                   55.14
8192                   58.75
16384                  74.47
32768                 108.55
65536                 245.44
131072                343.57
262144                465.31
524288                714.97
1048576              1166.55
2097152              2106.73
4194304              4053.24
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.76]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.39]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.57
2                      32.51
4                      31.88
8                      31.89
16                     32.54
32                     31.82
64                     34.30
128                    33.30
256                    31.55
512                    32.28
1024                   33.99
2048                   52.06
