# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
32                     23.77
64                     23.42
128                    23.45
256                    24.09
512                    25.24
1024                   25.01
2048                   33.09
4096                   35.58
8192                   38.17
16384                  42.84
32768                  49.24
65536                  67.85
131072                 92.47
262144                210.87
524288                504.87
1048576              1081.55
2097152              2221.43
4194304              4476.77
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.44
2                      23.12
4                      24.03
8                      23.13
16                     23.76
32                     22.88
64                     23.54
128                    23.84
256                    24.63
512                    23.90
1024                   24.37
2048                   32.71
4096                   35.45
8192                   39.49
16384                  43.05
32768                  51.65
65536                  70.09
131072                 95.23
262144                220.73
524288                524.11
1048576              1098.03
2097152              2373.77
4194304              6135.19
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      22.71
2                      30.67
4                      35.42
8                      34.41
16                     33.63
32                     34.80
64                     33.66
128                    35.35
256                    36.40
512                    35.38
1024                   36.95
2048                   48.21
4096                   50.82
8192                   54.17
16384                  60.90
32768                  74.10
65536                  98.86
131072                134.65
262144                307.86
524288                695.80
1048576              1498.65
2097152              2972.94
4194304              5981.81
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.03
2                      30.69
4                      33.69
8                      34.08
16                     34.62
32                     34.84
64                     35.48
128                    34.69
256                    34.12
512                    35.47
1024                   34.74
2048                   49.61
4096                   49.89
8192                   53.85
16384                  60.54
32768                  73.77
65536                  99.60
131072                135.63
262144                297.66
524288                706.99
1048576              1481.49
2097152              3028.03
4194304              6125.75
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.76
2                      33.18
4                      32.87
8                      34.50
16                     34.62
32                     35.06
64                     35.77
128                    33.97
256                    34.19
512                    36.43
1024                   35.57
2048                   48.82
4096                   48.67
8192                   55.18
16384                  58.62
32768                  72.27
65536                  96.71
131072                137.04
262144                302.08
524288                709.84
1048576              1474.28
2097152              3004.09
4194304              6086.71
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.27
2                      29.59
4                      34.02
8                      34.50
16                     32.49
32                     33.76
64                     34.54
128                    35.70
256                    35.04
512                    36.27
1024                   35.47
2048                   48.95
4096                   51.88
8192                   54.27
16384                  60.67
32768                  73.86
65536                 100.68
131072                137.52
262144                309.79
524288                697.06
1048576              1499.37
2097152              3029.23
4194304              6063.35
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.31
2                      31.04
4                      33.87
8                      34.96
16                     35.76
32                     34.74
64                     34.60
128                    34.68
256                    34.05
512                    36.36
1024                   35.42
2048                   49.94
4096                   49.40
8192                   55.39
16384                  58.90
32768                  67.47
65536                  96.64
131072                133.05
262144                313.23
524288                717.18
1048576              1476.90
2097152              3094.44
4194304              6062.07
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.43
2                      30.50
4                      33.09
8                      35.08
16                     34.01
32                     34.37
64                     35.96
128                    34.92
256                    34.30
512                    35.43
1024                   36.45
2048                   48.08
4096                   50.54
8192                   56.62
16384                  59.18
32768                  71.22
65536                  95.25
131072                134.63
262144                300.19
524288                697.56
1048576              1483.98
2097152              3025.51
4194304              6048.20
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.72
2                      30.90
4                      34.27
8                      35.23
16                     34.79
32                     34.22
64                     35.31
128                    35.22
256                    34.90
512                    36.37
1024                   34.60
2048                   48.15
4096                   49.92
8192                   54.17
16384                  61.03
32768                  72.92
65536                  96.44
131072                135.15
262144                304.77
524288                711.97
1048576              1455.79
2097152              3009.08
4194304              6114.03
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.20
2                      33.08
4                      34.80
8                      34.94
16                     33.07
32                     33.65
64                     34.20
128                    35.18
256                    33.30
512                    34.80
1024                   36.51
2048                   49.13
4096                   49.94
8192                   55.87
16384                  58.01
32768                  74.49
65536                  97.66
131072                136.02
262144                304.38
524288                701.17
1048576              1479.07
2097152              3010.25
4194304              6083.18
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.61
2                      30.81
4                      33.62
8                      35.02
16                     34.02
32                     33.80
64                     35.42
128                    34.63
256                    34.08
512                    36.18
1024                   34.84
2048                   48.40
4096                   50.21
8192                   56.07
16384                  58.94
32768                  68.82
65536                  95.52
131072                135.14
262144                308.54
524288                695.29
1048576              1468.43
2097152              3030.83
4194304              6047.80
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.37
2                      33.42
4                      35.01
8                      34.75
16                     34.79
32                     35.32
64                     35.07
128                    35.52
256                    34.00
512                    35.52
1024                   34.66
2048                   47.89
4096                   50.32
8192                   55.06
16384                  61.15
32768                  70.20
65536                  92.82
131072                133.66
262144                301.03
524288                690.59
1048576              1469.93
2097152              2987.46
4194304              6055.05
