# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      22.99
2                      23.59
4                      22.78
8                      23.02
16                     22.37
32                     23.46
64                     23.01
128                    23.26
256                    23.06
512                    24.08
1024                   24.89
2048                   32.74
4096                   34.37
8192                   36.69
16384                  42.25
32768                  49.87
65536                  66.66
131072                 89.32
262144                214.21
524288                488.63
1048576              1038.82
2097152              2698.39
4194304              6185.18
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.74
2                      32.35
4                      33.03
8                      36.20
16                     33.69
32                     34.42
64                     35.01
128                    34.68
256                    34.47
512                    36.29
1024                   35.34
2048                   48.18
4096                   50.86
8192                   56.18
16384                  62.85
32768                  73.11
65536                  92.44
131072                132.78
262144                299.92
524288                691.47
1048576              1464.19
2097152              2994.01
4194304              6093.85
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.80
2                      31.88
4                      34.52
8                      35.17
16                     34.02
32                     34.52
64                     34.89
128                    34.45
256                    34.14
512                    35.80
1024                   35.56
2048                   46.21
4096                   51.09
8192                   56.05
16384                  59.03
32768                  73.34
65536                  89.81
131072                131.89
262144                314.17
524288                702.74
1048576              1485.61
2097152              2991.90
4194304              6037.68
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.25
2                      33.02
4                      34.25
8                      33.45
16                     34.03
32                     33.18
64                     34.71
128                    34.38
256                    34.89
512                    35.70
1024                   35.63
2048                   48.59
4096                   51.11
8192                   55.35
16384                  57.43
32768                  69.38
65536                  93.76
131072                130.78
262144                304.22
524288                699.08
1048576              1258.71
2097152              2170.12
4194304              4403.41
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.14
2                      22.60
4                      23.11
8                      23.11
16                     23.73
32                     22.59
64                     22.61
128                    23.42
256                    23.74
512                    24.27
1024                   23.85
2048                   31.93
4096                   34.64
8192                   40.12
16384                  41.76
32768                  51.76
65536                  68.41
131072                 97.44
262144                222.36
524288                524.62
1048576              1082.96
2097152              2204.07
4194304              4444.30
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.70
2                      23.72
4                      23.81
8                      23.79
16                     23.20
32                     23.25
64                     22.76
128                    23.65
256                    23.88
512                    24.12
1024                   24.46
2048                   32.87
4096                   33.90
8192                   35.99
16384                  37.93
32768                  47.38
65536                  68.03
131072                 89.91
262144                207.55
524288                509.05
1048576              1087.11
2097152              2203.27
4194304              4449.83
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.14
2                      23.05
4                      23.50
8                      23.20
16                     22.95
32                     24.54
64                     23.70
128                    23.93
256                    23.90
512                    24.28
1024                   24.24
2048                   33.37
4096                   34.63
8192                   36.80
16384                  43.37
32768                  50.40
65536                  67.52
131072                 94.69
262144                211.37
524288                496.86
1048576              1111.58
2097152              2213.92
4194304              4462.17
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.45
2                      24.18
4                      23.16
8                      23.38
16                     23.12
32                     23.94
64                     23.66
128                    24.22
256                    24.22
512                    24.40
1024                   25.23
2048                   32.78
4096                   34.33
8192                   36.63
16384                  40.65
32768                  49.38
65536                  66.64
131072                 91.10
262144                211.81
524288                497.77
1048576              1090.00
2097152              2216.04
4194304              4436.47
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      23.70
2                      23.86
4                      23.92
8                      23.09
16                     23.34
