Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Download File,90,23,3100.0,4403.327477455645,745.2774710000085,18317.364506998274,32785549.1,0.7801061259257525,0.19936045440324784,3200,5400,6300,8200,9000,10000,12000,18000,18000,18000,18000
GET,Login,215,64,4900.0,5612.835758925568,64.20052399698761,34349.31271700043,22371.39534883721,1.8635868563781863,0.5547421339916462,4900,6900,7800,8500,11000,13000,18000,21000,34000,34000,34000
POST,Login,60,21,6900.0,11219.543416366589,283.48075699977926,46874.809667999216,10334.183333333332,0.5200707506171683,0.1820247627160089,6900,11000,15000,18000,32000,41000,43000,47000,47000,47000,47000
PUT,Upload File,201,56,2400.0,4145.007061850637,87.29063899954781,34284.46518700002,41.11940298507463,1.742237014567514,0.4853993672426904,2400,4800,5800,6900,8500,11000,15000,29000,34000,34000,34000
,Aggregated,566,164,3800.0,5493.601034547665,64.20052399698761,46874.809667999216,5222857.924028269,4.906000747488621,1.4215267183535933,3900,5800,7400,8200,11000,15000,29000,34000,47000,47000,47000
